	Variable de la estacion MagyaCba La Cumbrecita 
 
Temp	Hume	Pto.Ro	Precipt	Vel.Vie	Raf.Vie	  Pres	Rad.Sol	Temp_S1	Temp_S2	Temp_S3	Hum_S1	Hum_S2	Hum_S3	Hum_Hoja
20.40 	 62.10 	 12.90	 0.00	 4.00	 4.10	 860.00	 557.50	 21.80	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00
20.80 	 60.30 	 12.80	 0.00	 3.10	 9.50	 858.80	 389.70	 21.90	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00
21.20 	 56.10 	 12.10	 0.00	 2.30	 5.10	 860.00	 476.50	 21.90	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00
21.60 	 56.70 	 12.60	 0.00	 4.40	 10.20	 858.10	 586.40	 21.90	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00
21.70 	 53.40 	 11.80	 0.00	 4.80	 11.60	 858.80	 555.60	 22.00	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00
22.00 	 54.00 	 12.30	 0.00	 4.10	 10.00	 858.80	 578.70	 22.00	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00
22.10 	 52.30 	 11.90	 0.00	 4.80	 9.60	 859.40	 472.60	 22.00	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00
22.40 	 52.60 	 12.20	 0.00	 3.90	 7.50	 858.80	 534.30	 22.00	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00
22.30 	 52.30 	 12.10	 0.00	 6.80	 6.80	 859.40	 617.30	 22.10	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00
22.40 	 53.30 	 12.40	 0.00	 7.10	 15.10	 859.40	 686.70	 22.10	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00
22.50 	 51.90 	 12.10	 0.00	 7.90	 16.00	 860.00	 831.40	 22.20	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00
22.80 	 51.10 	 12.20	 0.00	 6.60	 14.90	 860.00	 787.00	 22.20	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00
